filename,case_name,citation,catchword,area_of_law,topic,subtopic,primary_statute,is_criminal,taxonomy_key,pdf_url
2016_SGHC_150.pdf,[2016] SGHC 150,[2016] SGHC 150,Criminal Law — Statutory offences — Misuse of Drugs Act — Presumptions of possession and knowledge,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_150/pdf
2016_SGHC_136.pdf,[2016] SGHC 136,[2016] SGHC 136,Criminal Law — Offences — Rape,Criminal Law,Sexual offences,Rape,Penal Code s 375,True,Criminal Law — Offences — Rape,https://www.elitigation.sg/gd/gd/2016_SGHC_136/pdf
2016_SGHC_134.pdf,[2016] SGHC 134,[2016] SGHC 134,Criminal Procedure and Sentencing — Sentencing — Young offenders,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_134/pdf
2016_SGHC_124.pdf,[2016] SGHC 124,[2016] SGHC 124,Criminal Law — Statutory offences — Misuse of Drugs Act — Trafficking in controlled drugs,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_124/pdf
2016_SGHC_102.pdf,[2016] SGHC 102,[2016] SGHC 102,Criminal Law — Statutory offences — Misuse of Drugs Act — Trafficking in controlled drugs,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_102/pdf
2016_SGHC_102.pdf,[2016] SGHC 102,[2016] SGHC 102,Criminal Law — Statutory offences — Misuse of Drugs Act — Abetting the trafficking of controlled drugs through instigation,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_102/pdf
2016_SGHC_107.pdf,[2016] SGHC 107,[2016] SGHC 107,Criminal Law — Offences — Rape,Criminal Law,Sexual offences,Rape,Penal Code s 375,True,Criminal Law — Offences — Rape,https://www.elitigation.sg/gd/gd/2016_SGHC_107/pdf
2016_SGHC_107.pdf,[2016] SGHC 107,[2016] SGHC 107,Criminal Law — Offences — Sexual Grooming,Criminal Law,Offences,General,Penal Code,True,Criminal Law — Offences,https://www.elitigation.sg/gd/gd/2016_SGHC_107/pdf
2016_SGHC_107.pdf,[2016] SGHC 107,[2016] SGHC 107,Criminal Law — Statutory Offences — Children and Young Persons Act,Criminal Law,Statutory offences,Children and Young Persons Act,Children and Young Persons Act,True,Criminal Law — Statutory offences — Children and Young Persons Act,https://www.elitigation.sg/gd/gd/2016_SGHC_107/pdf
2016_SGHC_103.pdf,[2016] SGHC 103,[2016] SGHC 103,Criminal Law — Statutory offences — Penal Code,Criminal Law,Statutory offences,Penal Code,Penal Code,True,Criminal Law — Statutory offences — Penal Code,https://www.elitigation.sg/gd/gd/2016_SGHC_103/pdf
2016_SGHC_103.pdf,[2016] SGHC 103,[2016] SGHC 103,Criminal Law — Offences — Hurt,Criminal Law,Offences against person,Hurt,Penal Code s 319,True,Criminal Law — Offences — Hurt,https://www.elitigation.sg/gd/gd/2016_SGHC_103/pdf
2016_SGHC_103.pdf,[2016] SGHC 103,[2016] SGHC 103,Criminal Law — Offences — Public safetyCriminal Procedure and Sentencing — Sentencing — Principles,Criminal Law,Offences,General,Penal Code,True,Criminal Law — Offences,https://www.elitigation.sg/gd/gd/2016_SGHC_103/pdf
